Code Range,Description
00100-00222,Anesthesia for Procedures on the Head
00300-00352,Anesthesia for Procedures on the Neck
00400-00474,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)
00500-00580,Anesthesia for Intrathoracic Procedures
00600-00670,Anesthesia for Procedures on the Spine and Spinal Cord
00700-00797,Anesthesia for Procedures on the Upper Abdomen
00800-00882,Anesthesia for Procedures on the Lower Abdomen
00902-00952,Anesthesia for Procedures on the Perineum
01112-01173,Anesthesia for Procedures on the Pelvis (Except Hip)
01200-01274,Anesthesia for Procedures on the Upper Leg (Except Knee)
01320-01444,Anesthesia for Procedures on the Knee and Popliteal Area
01462-01522,Anesthesia for Procedures on the Lower Leg (Below Knee)
01610-01680,Anesthesia for Procedures on the Shoulder and Axilla
01710-01782,Anesthesia for Procedures on the Upper Arm and Elbow
01810-01860,"Anesthesia for Procedures on the Forearm, Wrist, and Hand"
01916-01936,Anesthesia for Radiological Procedures
01951-01953,Anesthesia for Burn Excisions or Debridement Procedures
01958-01969,Anesthesia for Obstetric Procedures
01990-01999,Anesthesia for Other Procedures
10004-10021,Fine Needle Aspiration Biopsy Procedures
10030-19499,Surgical Procedures on the Integumentary System
20100-29999,Surgical Procedures on the Musculoskeletal System
30000-32999,Surgical Procedures on the Respiratory System
33016-37799,Surgical Procedures on the Cardiovascular System
38100-38999,Surgical Procedures on the Hemic and Lymphatic Systems
39000-39599,Surgical Procedures on the Mediastinum and Diaphragm
40490-49999,Surgical Procedures on the Digestive System
50010-53899,Surgical Procedures on the Urinary System
54000-55899,Surgical Procedures on the Male Genital System
55920-55920,Reproductive System Procedures
55970-55980,Intersex Surgery
56405-58999,Surgical Procedures on the Female Genital System
59000-59899,Surgical Procedures for Maternity Care and Delivery
60000-60699,Surgical Procedures on the Endocrine System
61000-64999,Surgical Procedures on the Nervous System
65091-68899,Surgical Procedures on the Eye and Ocular Adnexa
69000-69979,Surgical Procedures on the Auditory System
69990-69990,Operating Microscope Procedures
70010-76499,Diagnostic Radiology (Diagnostic Imaging) Procedures
76506-76999,Diagnostic Ultrasound Procedures
77001-77022,Radiologic Guidance
77046-77067,"Breast, Mammography"
77071-77086,Bone/Joint Studies
77261-77799,Radiation Oncology Treatment
78012-79999,Nuclear Medicine Procedures
80047-80081,Organ or Disease Oriented Panels
80102-80102,Drug confirmation
80145-80377,Therapeutic Drug Assays
80305-80377,Drug Assay Procedures
80400-80439,Evocative/Suppression Testing Procedures
80500-80502,Clinical Pathology Consultations
81000-81099,Urinalysis Procedures
81105-81408,Molecular Pathology Procedures
81410-81479,Genomic Sequencing Procedures and Other Molecular Multianalyte Assays
81490-81599,Multianalyte Assays with Algorithmic Analyses
82009-84999,Chemistry Procedures
85002-85999,Hematology and Coagulation Procedures
86000-86849,Immunology Procedures
86850-86999,Transfusion Medicine Procedures
87003-87999,Microbiology Procedures
88000-88099,Postmortem Examination Procedures
88104-88199,Cytopathology Procedures
88230-88299,Cytogenetic Studies
88300-88399,Surgical Pathology Procedures
88720-88749,"In Vivo (eg, Transcutaneous) Laboratory Procedures"
89049-89240,Other Pathology and Laboratory Procedures
89250-89398,Reproductive Medicine Procedures
